customer_id,date,amount_billed,amount_paid
68,2025-07-16,82.37,25.49
41,2025-07-16,40.03,69.33
6,2025-07-16,10.36,91.9
24,2025-07-16,73.03,97.25
56,2025-07-16,78.86,98.48
93,2025-07-16,76.7,52.87
65,2025-07-16,23.8,66.15
27,2025-07-16,52.95,56.11
51,2025-07-16,12.16,84.51
40,2025-07-16,45.09,55.93
99,2025-07-16,25.61,33.15
12,2025-07-16,48.01,45.29
15,2025-07-16,39.95,15.11
13,2025-07-16,55.16,46.61
63,2025-07-16,42.89,34.79
67,2025-07-16,76.73,28.34
32,2025-07-16,39.23,51.85
98,2025-07-16,40.48,88.57
23,2025-07-16,75.77,25.98
4,2025-07-16,76.83,60.95
19,2025-07-16,68.64,91.6
36,2025-07-16,73.84,87.63
50,2025-07-16,32.74,37.01
54,2025-07-16,53.71,76.92
52,2025-07-16,60.38,39.28
84,2025-07-16,36.66,45.86
64,2025-07-16,42.16,65.16
97,2025-07-16,84.39,96.41
92,2025-07-16,79.51,85.51
96,2025-07-16,29.71,98.8
88,2025-07-16,58.71,25.03
26,2025-07-16,30.05,69.23
55,2025-07-16,33.83,16.14
60,2025-07-16,58.47,17.38
100,2025-07-16,83.25,17.02
74,2025-07-16,92.34,23.67
10,2025-07-16,10.91,12.92
17,2025-07-16,60.31,57.86
5,2025-07-16,26.59,16.13
18,2025-07-16,61.57,12.7
95,2025-07-16,80.39,35.87
89,2025-07-16,45.98,49.22
78,2025-07-16,96.21,12.64
33,2025-07-16,98.13,6.72
28,2025-07-16,10.65,52.91
81,2025-07-16,86.65,51.48
70,2025-07-16,16.47,31.95
38,2025-07-16,46.04,88.99
25,2025-07-16,83.04,97.06
44,2025-07-16,95.85,40.82
8,2025-07-16,72.35,62.53
1,2025-07-16,82.64,41.28
90,2025-07-16,47.28,32.32
77,2025-07-16,83.99,59.15
73,2025-07-16,10.58,40.01
16,2025-07-16,48.0,15.85
83,2025-07-16,35.03,50.08
76,2025-07-16,15.69,63.75
85,2025-07-16,73.26,68.95
66,2025-07-16,17.5,3.77
75,2025-07-16,22.64,82.27
7,2025-07-16,19.55,25.11
59,2025-07-16,44.43,24.17
69,2025-07-16,65.03,27.43
21,2025-07-16,81.82,17.9
31,2025-07-16,92.53,77.27
82,2025-07-16,70.68,74.36
3,2025-07-16,89.76,88.5
58,2025-07-16,25.75,87.81
9,2025-07-16,92.97,63.25
46,2025-07-16,20.16,34.06
91,2025-07-16,37.55,28.92
43,2025-07-16,43.55,17.78
49,2025-07-16,91.47,32.35
61,2025-07-16,33.48,31.34
39,2025-07-16,91.13,65.89
37,2025-07-16,47.93,61.07
48,2025-07-16,11.08,2.58
20,2025-07-16,67.22,3.58
22,2025-07-16,94.16,59.83
