customer_id,date,data_used_MB,voice_minutes
53,2025-07-10,507.18,56
23,2025-07-10,308.0,56
72,2025-07-10,249.69,59
93,2025-07-10,291.82,45
84,2025-07-10,47.97,60
15,2025-07-10,33.47,37
97,2025-07-10,15.58,56
64,2025-07-10,101.71,50
56,2025-07-10,82.73,48
94,2025-07-10,1288.95,54
26,2025-07-10,81.76,55
35,2025-07-10,30.73,47
91,2025-07-10,84.21,56
71,2025-07-10,149.36,59
48,2025-07-10,257.89,63
78,2025-07-10,350.38,46
30,2025-07-10,193.16,35
36,2025-07-10,25.14,47
80,2025-07-10,306.63,59
47,2025-07-10,529.85,50
2,2025-07-10,23.66,48
3,2025-07-10,818.91,52
37,2025-07-10,1587.58,45
95,2025-07-10,408.95,53
96,2025-07-10,107.84,42
5,2025-07-10,320.38,60
6,2025-07-10,159.73,53
13,2025-07-10,295.29,53
68,2025-07-10,52.6,49
66,2025-07-10,122.19,52
50,2025-07-10,2.19,61
59,2025-07-10,157.95,58
61,2025-07-10,68.17,57
16,2025-07-10,42.45,60
20,2025-07-10,175.46,54
69,2025-07-10,21.46,43
32,2025-07-10,51.4,50
14,2025-07-10,130.51,44
70,2025-07-10,129.65,62
27,2025-07-10,166.83,43
43,2025-07-10,172.32,53
67,2025-07-10,890.62,43
18,2025-07-10,148.07,52
99,2025-07-10,488.18,55
60,2025-07-10,543.4,44
100,2025-07-10,66.29,50
11,2025-07-10,300.94,59
76,2025-07-10,584.98,38
45,2025-07-10,426.04,53
17,2025-07-10,284.23,51
41,2025-07-10,277.86,40
63,2025-07-10,448.54,50
9,2025-07-10,165.95,39
39,2025-07-10,326.75,57
7,2025-07-10,282.8,51
25,2025-07-10,163.92,52
82,2025-07-10,205.19,54
42,2025-07-10,331.03,53
57,2025-07-10,12.08,50
86,2025-07-10,47.72,64
21,2025-07-10,527.95,44
73,2025-07-10,320.34,44
40,2025-07-10,400.14,53
33,2025-07-10,291.65,48
29,2025-07-10,555.29,45
87,2025-07-10,77.29,44
83,2025-07-10,24.7,51
44,2025-07-10,0.36,52
55,2025-07-10,157.71,54
58,2025-07-10,387.53,54
81,2025-07-10,21.67,48
98,2025-07-10,457.53,47
89,2025-07-10,31.94,46
46,2025-07-10,475.65,64
28,2025-07-10,152.19,46
8,2025-07-10,99.13,55
62,2025-07-10,183.87,53
54,2025-07-10,1041.85,64
4,2025-07-10,577.29,60
75,2025-07-10,95.11,49
