bill_id,customer_id,date,amount_billed,amount_paid
1,11,2025-06-30,50.51,62.34
2,99,2025-06-30,69.06,21.54
3,1,2025-06-30,94.51,84.7
4,29,2025-06-30,58.1,98.14
5,28,2025-06-30,82.09,27.6
6,43,2025-06-30,43.09,3.53
7,9,2025-06-30,50.65,81.19
8,19,2025-06-30,26.11,20.85
9,60,2025-06-30,70.27,88.13
10,7,2025-06-30,52.81,31.59
11,81,2025-06-30,75.06,92.79
12,53,2025-06-30,37.6,58.32
13,67,2025-06-30,60.67,41.69
14,78,2025-06-30,82.29,57.33
15,35,2025-06-30,94.86,76.15
16,68,2025-06-30,64.78,11.77
17,95,2025-06-30,17.07,71.52
18,69,2025-06-30,20.49,2.0
19,77,2025-06-30,53.84,48.98
20,61,2025-06-30,27.9,91.03
21,72,2025-06-30,99.35,1.44
22,59,2025-06-30,41.64,83.01
23,86,2025-06-30,29.19,70.3
24,30,2025-06-30,45.19,37.47
25,93,2025-06-30,89.51,97.2
26,8,2025-06-30,12.06,39.44
27,2,2025-06-30,81.76,71.68
28,91,2025-06-30,93.49,30.3
29,97,2025-06-30,81.85,50.92
30,76,2025-06-30,70.83,92.23
31,51,2025-06-30,31.84,26.76
32,46,2025-06-30,42.47,58.08
33,56,2025-06-30,86.98,32.51
34,57,2025-06-30,26.52,67.39
35,73,2025-06-30,94.57,60.11
36,37,2025-06-30,83.88,25.2
37,44,2025-06-30,21.05,84.5
38,23,2025-06-30,26.8,29.07
39,65,2025-06-30,61.59,62.03
40,22,2025-06-30,72.63,76.07
41,17,2025-06-30,64.19,25.09
42,34,2025-06-30,34.9,45.37
43,49,2025-06-30,24.17,70.33
44,38,2025-06-30,67.22,18.74
45,94,2025-06-30,70.26,0.42
46,47,2025-06-30,59.15,66.59
47,98,2025-06-30,10.58,82.09
48,12,2025-06-30,87.07,75.46
49,75,2025-06-30,17.33,27.01
50,33,2025-06-30,87.98,55.23
51,66,2025-06-30,45.92,33.01
52,4,2025-06-30,81.92,83.85
53,85,2025-06-30,94.3,38.92
54,88,2025-06-30,58.4,95.78
55,25,2025-06-30,39.11,39.73
56,70,2025-06-30,80.41,30.85
57,89,2025-06-30,76.89,37.97
58,52,2025-06-30,16.46,91.47
59,87,2025-06-30,58.55,52.45
60,6,2025-06-30,60.6,77.68
61,21,2025-06-30,26.97,32.33
62,20,2025-06-30,69.05,44.69
63,54,2025-06-30,99.25,4.45
64,90,2025-06-30,47.53,96.87
65,39,2025-06-30,74.69,70.55
66,92,2025-06-30,38.24,86.15
67,42,2025-06-30,29.72,99.33
68,14,2025-06-30,23.39,57.78
69,40,2025-06-30,90.82,96.03
70,27,2025-06-30,57.35,80.81
71,10,2025-06-30,10.41,69.92
72,24,2025-06-30,94.3,97.66
73,79,2025-06-30,26.32,79.65
74,31,2025-06-30,81.26,15.41
75,96,2025-06-30,18.61,87.84
76,45,2025-06-30,66.93,28.38
77,63,2025-06-30,55.33,54.59
78,80,2025-06-30,69.4,6.65
79,62,2025-06-30,93.84,97.25
80,16,2025-06-30,34.96,90.66
