bill_id,customer_id,date,amount_billed,amount_paid
1,100,2025-06-29,39.38,85.31
2,70,2025-06-29,22.79,60.32
3,34,2025-06-29,52.95,32.99
4,42,2025-06-29,91.03,51.28
5,11,2025-06-29,93.61,85.02
6,39,2025-06-29,29.68,28.49
7,46,2025-06-29,35.87,98.4
8,51,2025-06-29,43.28,86.3
9,62,2025-06-29,56.76,65.55
10,45,2025-06-29,52.89,88.81
11,75,2025-06-29,54.53,68.51
12,87,2025-06-29,68.71,27.57
13,80,2025-06-29,44.11,49.6
14,20,2025-06-29,81.43,17.9
15,88,2025-06-29,96.02,87.87
16,79,2025-06-29,52.28,91.01
17,21,2025-06-29,62.84,66.71
18,68,2025-06-29,71.44,15.85
19,91,2025-06-29,69.16,89.12
20,5,2025-06-29,98.33,21.43
21,55,2025-06-29,78.77,42.52
22,14,2025-06-29,87.5,75.72
23,89,2025-06-29,64.17,13.62
24,54,2025-06-29,57.1,44.39
25,94,2025-06-29,88.93,21.69
26,25,2025-06-29,37.48,25.78
27,44,2025-06-29,34.3,14.84
28,81,2025-06-29,35.81,65.6
29,23,2025-06-29,77.92,34.96
30,73,2025-06-29,89.25,51.41
31,47,2025-06-29,87.32,67.75
32,57,2025-06-29,25.57,68.03
33,96,2025-06-29,84.68,44.63
34,97,2025-06-29,33.08,73.5
35,22,2025-06-29,69.57,75.89
36,76,2025-06-29,67.46,78.91
37,37,2025-06-29,87.32,75.26
38,40,2025-06-29,90.72,27.4
39,99,2025-06-29,29.42,66.06
40,63,2025-06-29,12.23,43.58
41,98,2025-06-29,63.99,71.12
42,2,2025-06-29,32.47,16.89
43,43,2025-06-29,68.49,25.91
44,61,2025-06-29,66.45,95.3
45,18,2025-06-29,48.07,38.82
46,82,2025-06-29,64.7,35.51
47,29,2025-06-29,69.59,89.56
48,52,2025-06-29,18.85,62.84
49,38,2025-06-29,41.55,56.27
50,24,2025-06-29,66.65,1.93
51,10,2025-06-29,33.89,27.93
52,41,2025-06-29,28.86,99.69
53,27,2025-06-29,53.5,7.5
54,6,2025-06-29,48.16,45.01
55,93,2025-06-29,49.89,45.57
56,30,2025-06-29,39.81,31.96
57,85,2025-06-29,17.35,17.1
58,60,2025-06-29,89.43,35.73
59,66,2025-06-29,79.26,38.02
60,48,2025-06-29,15.52,56.8
61,32,2025-06-29,12.06,12.81
62,90,2025-06-29,37.8,13.28
63,4,2025-06-29,12.62,6.83
64,7,2025-06-29,53.48,51.71
65,95,2025-06-29,85.01,72.63
66,33,2025-06-29,83.03,78.16
67,58,2025-06-29,63.05,78.9
68,84,2025-06-29,64.43,35.33
69,16,2025-06-29,40.64,54.31
70,49,2025-06-29,22.09,68.27
71,74,2025-06-29,32.05,22.33
72,78,2025-06-29,21.38,36.7
73,35,2025-06-29,16.35,78.47
74,77,2025-06-29,81.04,72.04
75,53,2025-06-29,61.26,70.5
76,83,2025-06-29,67.58,17.91
77,9,2025-06-29,67.06,61.48
78,15,2025-06-29,63.95,79.05
79,71,2025-06-29,48.85,10.75
80,26,2025-06-29,25.07,62.16
