usage_id,customer_id,date,data_used_MB,voice_minutes
1,28,2025-06-27,340.35,50
2,35,2025-06-27,848.54,46
3,11,2025-06-27,1206.77,53
4,69,2025-06-27,136.92,60
5,60,2025-06-27,423.61,58
6,78,2025-06-27,255.14,60
7,5,2025-06-27,258.82,49
8,87,2025-06-27,48.72,51
9,72,2025-06-27,867.72,47
10,91,2025-06-27,73.16,51
11,45,2025-06-27,70.66,54
12,29,2025-06-27,1087.21,45
13,66,2025-06-27,19.88,44
14,17,2025-06-27,91.86,45
15,8,2025-06-27,189.18,49
16,10,2025-06-27,104.22,49
17,37,2025-06-27,229.24,45
18,23,2025-06-27,578.56,39
19,46,2025-06-27,16.58,53
20,30,2025-06-27,36.6,41
21,86,2025-06-27,68.52,42
22,19,2025-06-27,172.98,52
23,18,2025-06-27,121.38,56
24,79,2025-06-27,723.49,42
25,27,2025-06-27,176.49,51
26,4,2025-06-27,96.84,46
27,42,2025-06-27,112.37,56
28,57,2025-06-27,122.3,51
29,1,2025-06-27,304.68,44
30,41,2025-06-27,611.23,58
31,75,2025-06-27,247.32,43
32,21,2025-06-27,53.55,44
33,89,2025-06-27,944.77,47
34,68,2025-06-27,147.27,54
35,73,2025-06-27,425.6,52
36,9,2025-06-27,257.95,54
37,70,2025-06-27,268.41,47
38,88,2025-06-27,142.69,37
39,54,2025-06-27,104.2,45
40,63,2025-06-27,377.17,45
41,24,2025-06-27,56.2,46
42,36,2025-06-27,324.37,67
43,83,2025-06-27,440.44,40
44,58,2025-06-27,693.41,45
45,94,2025-06-27,267.31,42
46,22,2025-06-27,9.59,59
47,49,2025-06-27,199.11,52
48,39,2025-06-27,156.81,54
49,13,2025-06-27,23.38,58
50,15,2025-06-27,70.04,34
51,12,2025-06-27,166.27,29
52,43,2025-06-27,12.67,49
53,76,2025-06-27,22.25,57
54,97,2025-06-27,978.28,69
55,59,2025-06-27,407.51,46
56,65,2025-06-27,29.35,55
57,6,2025-06-27,559.65,48
58,80,2025-06-27,485.46,55
59,34,2025-06-27,267.26,50
60,67,2025-06-27,463.18,46
61,84,2025-06-27,697.49,53
62,77,2025-06-27,689.27,45
63,31,2025-06-27,76.05,45
64,62,2025-06-27,375.44,46
65,40,2025-06-27,276.21,52
66,55,2025-06-27,344.66,44
67,25,2025-06-27,16.98,50
68,38,2025-06-27,498.48,50
69,16,2025-06-27,540.27,45
70,3,2025-06-27,97.96,50
71,26,2025-06-27,90.81,45
72,100,2025-06-27,350.89,61
73,81,2025-06-27,486.81,47
74,82,2025-06-27,309.52,41
75,74,2025-06-27,482.81,53
76,95,2025-06-27,345.34,56
77,48,2025-06-27,47.45,52
78,53,2025-06-27,552.53,58
79,92,2025-06-27,265.66,48
80,14,2025-06-27,265.83,58
