customer_id,date,complaint_type,resolved
19,2025-07-22,Slow Internet,False
68,2025-07-22,Overbilling,True
79,2025-07-22,No Response,False
10,2025-07-22,No Response,True
65,2025-07-22,Overbilling,True
94,2025-07-22,Overbilling,True
36,2025-07-22,Service Down,False
45,2025-07-22,Overbilling,True
18,2025-07-22,Network Issue,True
28,2025-07-22,Overbilling,False
20,2025-07-22,No Response,True
30,2025-07-22,Slow Internet,True
74,2025-07-22,Network Issue,True
26,2025-07-22,No Response,True
90,2025-07-22,Overbilling,True
24,2025-07-22,No Response,False
94,2025-07-22,Slow Internet,True
72,2025-07-22,Network Issue,True
21,2025-07-22,Network Issue,False
76,2025-07-22,Slow Internet,False
