bill_id,customer_id,date,amount_billed,amount_paid
1,81,2025-07-07,31.77,10.36
2,19,2025-07-07,17.55,93.93
3,75,2025-07-07,72.3,59.79
4,30,2025-07-07,69.52,50.04
5,36,2025-07-07,59.84,66.34
6,52,2025-07-07,45.75,48.07
7,24,2025-07-07,11.95,68.69
8,86,2025-07-07,18.79,86.59
9,20,2025-07-07,50.49,76.37
10,12,2025-07-07,40.46,52.46
11,78,2025-07-07,64.36,3.4
12,94,2025-07-07,38.02,23.7
13,37,2025-07-07,62.62,87.43
14,100,2025-07-07,95.14,66.04
15,48,2025-07-07,24.99,13.0
16,26,2025-07-07,66.06,61.4
17,10,2025-07-07,92.94,10.42
18,4,2025-07-07,32.04,18.92
19,98,2025-07-07,39.94,68.7
20,93,2025-07-07,20.55,25.77
21,80,2025-07-07,69.56,47.52
22,97,2025-07-07,64.29,55.49
23,92,2025-07-07,29.61,84.72
24,16,2025-07-07,72.89,90.29
25,70,2025-07-07,48.55,24.89
26,54,2025-07-07,49.22,52.26
27,91,2025-07-07,45.22,84.48
28,53,2025-07-07,55.93,67.08
29,47,2025-07-07,72.8,26.98
30,79,2025-07-07,60.25,65.14
31,56,2025-07-07,16.62,8.56
32,55,2025-07-07,36.6,59.53
33,73,2025-07-07,63.66,49.52
34,35,2025-07-07,32.31,66.35
35,34,2025-07-07,22.31,47.91
36,5,2025-07-07,76.07,11.67
37,15,2025-07-07,78.79,57.85
38,38,2025-07-07,55.94,62.44
39,2,2025-07-07,51.38,16.48
40,59,2025-07-07,90.0,1.33
41,50,2025-07-07,27.19,57.16
42,31,2025-07-07,28.25,97.31
43,87,2025-07-07,71.11,50.35
44,83,2025-07-07,66.72,19.64
45,23,2025-07-07,87.2,81.64
46,66,2025-07-07,37.34,62.8
47,84,2025-07-07,32.97,25.5
48,40,2025-07-07,96.89,37.2
49,45,2025-07-07,14.94,39.62
50,62,2025-07-07,41.1,66.77
51,32,2025-07-07,79.02,95.58
52,49,2025-07-07,10.58,0.41
53,67,2025-07-07,37.8,40.34
54,89,2025-07-07,53.16,95.49
55,18,2025-07-07,57.4,92.91
56,17,2025-07-07,47.86,79.7
57,6,2025-07-07,66.53,36.74
58,1,2025-07-07,41.44,87.04
59,28,2025-07-07,12.68,70.95
60,25,2025-07-07,42.06,89.33
61,39,2025-07-07,33.81,45.37
62,9,2025-07-07,95.79,19.56
63,90,2025-07-07,44.0,48.27
64,96,2025-07-07,59.22,49.59
65,41,2025-07-07,72.08,93.78
66,46,2025-07-07,57.61,37.55
67,57,2025-07-07,69.97,92.5
68,29,2025-07-07,55.12,75.2
69,44,2025-07-07,64.08,88.12
70,76,2025-07-07,27.78,23.34
71,8,2025-07-07,76.56,85.08
72,82,2025-07-07,21.42,72.74
73,88,2025-07-07,36.19,73.93
74,74,2025-07-07,46.6,68.18
75,71,2025-07-07,10.59,36.68
76,65,2025-07-07,56.21,63.96
77,22,2025-07-07,24.61,20.83
78,27,2025-07-07,56.2,79.82
79,64,2025-07-07,73.38,11.96
80,51,2025-07-07,24.72,17.77
