usage_id,customer_id,date,data_used_MB,voice_minutes
1,56,2025-07-01,2072.11,55
2,55,2025-07-01,391.55,48
3,90,2025-07-01,441.58,57
4,13,2025-07-01,1.93,44
5,60,2025-07-01,88.8,53
6,42,2025-07-01,697.07,51
7,51,2025-07-01,85.18,40
8,95,2025-07-01,87.61,55
9,37,2025-07-01,1041.9,42
10,65,2025-07-01,484.61,39
11,41,2025-07-01,335.01,48
12,1,2025-07-01,520.5,52
13,8,2025-07-01,15.51,55
14,88,2025-07-01,440.93,42
15,39,2025-07-01,208.84,50
16,84,2025-07-01,49.62,55
17,54,2025-07-01,136.1,60
18,70,2025-07-01,126.44,51
19,7,2025-07-01,120.12,58
20,44,2025-07-01,180.67,52
21,28,2025-07-01,335.99,44
22,38,2025-07-01,92.11,44
23,27,2025-07-01,391.87,52
24,86,2025-07-01,449.72,49
25,68,2025-07-01,75.49,41
26,64,2025-07-01,27.24,62
27,30,2025-07-01,97.72,49
28,99,2025-07-01,94.89,44
29,50,2025-07-01,179.38,49
30,93,2025-07-01,384.18,55
31,71,2025-07-01,258.47,74
32,85,2025-07-01,63.27,41
33,22,2025-07-01,157.1,49
34,62,2025-07-01,34.37,43
35,58,2025-07-01,83.06,56
36,32,2025-07-01,93.83,40
37,36,2025-07-01,55.97,44
38,97,2025-07-01,115.58,52
39,35,2025-07-01,17.85,59
40,57,2025-07-01,278.08,49
41,45,2025-07-01,120.53,55
42,94,2025-07-01,110.01,48
43,24,2025-07-01,437.22,41
44,2,2025-07-01,110.81,54
45,63,2025-07-01,51.25,46
46,74,2025-07-01,240.69,59
47,80,2025-07-01,5.39,52
48,73,2025-07-01,90.63,44
49,46,2025-07-01,319.68,47
50,5,2025-07-01,17.63,53
51,61,2025-07-01,740.71,56
52,6,2025-07-01,76.93,45
53,81,2025-07-01,39.47,51
54,31,2025-07-01,359.71,50
55,33,2025-07-01,210.9,46
56,87,2025-07-01,17.16,47
57,25,2025-07-01,88.2,52
58,92,2025-07-01,439.45,63
59,3,2025-07-01,242.9,58
60,67,2025-07-01,152.09,39
61,34,2025-07-01,167.98,53
62,43,2025-07-01,289.06,41
63,47,2025-07-01,184.93,58
64,53,2025-07-01,378.72,57
65,69,2025-07-01,172.31,47
66,91,2025-07-01,88.58,49
67,23,2025-07-01,152.8,61
68,100,2025-07-01,338.53,39
69,16,2025-07-01,236.29,55
70,98,2025-07-01,32.31,56
71,4,2025-07-01,677.27,59
72,20,2025-07-01,67.75,35
73,9,2025-07-01,140.23,49
74,11,2025-07-01,297.42,45
75,78,2025-07-01,233.6,48
76,17,2025-07-01,178.64,49
77,15,2025-07-01,45.1,43
78,10,2025-07-01,203.06,48
79,29,2025-07-01,778.44,66
80,75,2025-07-01,191.07,46
