customer_id,date,amount_billed,amount_paid
94,2025-07-15,83.1,7.1
4,2025-07-15,22.21,80.97
35,2025-07-15,33.49,0.4
27,2025-07-15,52.08,78.99
49,2025-07-15,83.44,17.11
51,2025-07-15,45.32,93.05
5,2025-07-15,74.22,51.09
75,2025-07-15,71.05,97.02
53,2025-07-15,37.66,37.87
34,2025-07-15,28.24,12.41
91,2025-07-15,22.54,42.86
73,2025-07-15,66.99,68.78
40,2025-07-15,84.43,63.08
65,2025-07-15,26.58,19.78
33,2025-07-15,49.5,21.53
57,2025-07-15,45.58,40.24
87,2025-07-15,18.13,82.59
28,2025-07-15,39.06,22.99
83,2025-07-15,91.66,7.44
74,2025-07-15,75.09,20.81
48,2025-07-15,45.74,42.25
80,2025-07-15,35.24,17.37
25,2025-07-15,30.79,26.19
99,2025-07-15,46.24,21.08
19,2025-07-15,49.47,29.58
56,2025-07-15,66.28,91.37
43,2025-07-15,13.13,75.74
3,2025-07-15,76.31,3.74
78,2025-07-15,51.17,32.53
12,2025-07-15,17.32,24.63
20,2025-07-15,86.89,72.94
32,2025-07-15,60.85,32.89
88,2025-07-15,98.13,50.97
67,2025-07-15,79.53,20.39
13,2025-07-15,36.22,91.98
92,2025-07-15,98.45,35.76
29,2025-07-15,34.07,43.41
10,2025-07-15,92.45,66.91
71,2025-07-15,77.34,23.42
30,2025-07-15,63.86,45.94
61,2025-07-15,83.52,98.21
95,2025-07-15,77.62,18.41
18,2025-07-15,55.51,20.11
38,2025-07-15,12.29,59.73
97,2025-07-15,76.99,12.35
55,2025-07-15,92.13,67.85
96,2025-07-15,63.51,84.12
64,2025-07-15,84.56,99.89
58,2025-07-15,23.37,77.13
42,2025-07-15,68.76,6.34
90,2025-07-15,81.5,27.67
37,2025-07-15,33.56,96.12
16,2025-07-15,62.22,93.27
44,2025-07-15,41.61,26.29
7,2025-07-15,42.02,4.41
86,2025-07-15,32.54,25.52
85,2025-07-15,52.16,33.81
76,2025-07-15,52.3,7.82
60,2025-07-15,57.21,3.26
47,2025-07-15,95.84,49.79
9,2025-07-15,59.04,4.37
1,2025-07-15,45.03,76.34
84,2025-07-15,21.13,70.19
36,2025-07-15,33.01,1.03
89,2025-07-15,83.41,45.39
68,2025-07-15,88.59,95.73
59,2025-07-15,66.54,27.08
11,2025-07-15,18.74,96.76
24,2025-07-15,52.09,4.06
26,2025-07-15,71.57,35.12
66,2025-07-15,73.36,31.38
31,2025-07-15,58.5,94.92
82,2025-07-15,93.96,19.73
39,2025-07-15,36.18,68.0
77,2025-07-15,10.73,40.67
69,2025-07-15,23.47,17.89
15,2025-07-15,73.85,25.42
100,2025-07-15,63.45,60.17
21,2025-07-15,85.82,28.81
63,2025-07-15,17.44,70.84
