customer_id,date,data_used_MB,voice_minutes
51,2025-07-20,88.16,48
39,2025-07-20,322.36,41
10,2025-07-20,707.26,57
53,2025-07-20,388.17,48
24,2025-07-20,185.64,43
57,2025-07-20,141.24,48
11,2025-07-20,148.44,54
91,2025-07-20,196.25,48
1,2025-07-20,5.78,74
55,2025-07-20,534.79,47
42,2025-07-20,279.41,63
96,2025-07-20,212.33,50
31,2025-07-20,68.64,56
92,2025-07-20,554.33,54
61,2025-07-20,758.31,53
52,2025-07-20,552.67,51
78,2025-07-20,9.34,53
99,2025-07-20,82.77,39
12,2025-07-20,22.63,48
72,2025-07-20,270.68,54
19,2025-07-20,555.11,60
67,2025-07-20,1591.99,45
13,2025-07-20,54.17,44
73,2025-07-20,140.12,51
100,2025-07-20,508.97,58
44,2025-07-20,287.63,58
9,2025-07-20,53.52,60
81,2025-07-20,60.82,51
95,2025-07-20,62.84,49
98,2025-07-20,127.4,50
45,2025-07-20,401.41,51
63,2025-07-20,543.8,55
62,2025-07-20,102.15,47
35,2025-07-20,94.6,49
59,2025-07-20,175.96,45
54,2025-07-20,369.1,46
3,2025-07-20,179.07,46
7,2025-07-20,42.69,52
18,2025-07-20,122.22,52
83,2025-07-20,202.3,53
40,2025-07-20,74.34,56
46,2025-07-20,310.5,63
8,2025-07-20,490.83,51
2,2025-07-20,463.85,48
32,2025-07-20,494.84,57
29,2025-07-20,70.02,55
84,2025-07-20,118.39,42
93,2025-07-20,427.7,60
88,2025-07-20,323.02,61
6,2025-07-20,145.14,47
25,2025-07-20,36.58,52
23,2025-07-20,448.91,50
97,2025-07-20,316.44,59
64,2025-07-20,390.65,54
27,2025-07-20,1448.57,47
17,2025-07-20,186.62,52
76,2025-07-20,184.0,47
74,2025-07-20,86.13,48
48,2025-07-20,412.13,55
43,2025-07-20,105.38,59
80,2025-07-20,79.19,56
15,2025-07-20,16.01,53
77,2025-07-20,156.98,42
21,2025-07-20,127.31,51
65,2025-07-20,229.15,41
38,2025-07-20,290.95,51
86,2025-07-20,324.48,47
60,2025-07-20,690.33,41
56,2025-07-20,95.51,31
30,2025-07-20,190.29,54
71,2025-07-20,2046.11,65
34,2025-07-20,209.75,48
20,2025-07-20,310.06,58
41,2025-07-20,177.61,53
26,2025-07-20,287.25,54
94,2025-07-20,103.51,57
14,2025-07-20,211.27,43
85,2025-07-20,26.72,53
79,2025-07-20,62.71,43
87,2025-07-20,289.1,42
