customer_id,date,amount_billed,amount_paid
96,2025-07-11,73.13,62.4
74,2025-07-11,81.36,26.99
61,2025-07-11,57.82,53.16
31,2025-07-11,52.44,9.65
68,2025-07-11,28.73,29.68
75,2025-07-11,27.0,81.3
41,2025-07-11,78.32,78.35
60,2025-07-11,93.03,83.35
46,2025-07-11,36.11,34.11
56,2025-07-11,64.81,74.23
98,2025-07-11,25.51,37.69
51,2025-07-11,25.76,3.91
22,2025-07-11,48.76,45.76
97,2025-07-11,48.1,82.47
43,2025-07-11,24.64,27.2
57,2025-07-11,66.03,25.77
29,2025-07-11,62.31,75.62
12,2025-07-11,43.37,35.92
54,2025-07-11,83.33,4.76
71,2025-07-11,95.3,40.94
84,2025-07-11,88.88,19.12
6,2025-07-11,25.8,65.54
16,2025-07-11,81.46,24.57
76,2025-07-11,28.98,48.5
3,2025-07-11,95.06,41.42
63,2025-07-11,49.5,97.71
67,2025-07-11,32.19,35.83
2,2025-07-11,95.09,83.35
87,2025-07-11,84.09,93.0
18,2025-07-11,78.15,10.4
88,2025-07-11,31.74,91.82
25,2025-07-11,83.57,91.5
79,2025-07-11,44.05,72.17
83,2025-07-11,65.52,46.36
42,2025-07-11,56.1,13.87
59,2025-07-11,25.98,75.61
64,2025-07-11,95.55,25.49
80,2025-07-11,25.29,15.43
4,2025-07-11,36.28,77.71
36,2025-07-11,14.63,61.77
48,2025-07-11,56.69,8.54
19,2025-07-11,87.15,19.37
40,2025-07-11,12.25,97.2
95,2025-07-11,73.94,6.21
11,2025-07-11,58.01,3.82
10,2025-07-11,89.26,88.57
28,2025-07-11,44.96,66.13
99,2025-07-11,32.38,5.13
52,2025-07-11,19.72,30.12
5,2025-07-11,80.72,21.88
23,2025-07-11,70.17,96.77
15,2025-07-11,10.05,85.43
34,2025-07-11,17.35,52.9
69,2025-07-11,19.04,9.2
35,2025-07-11,97.61,55.64
30,2025-07-11,28.62,43.55
86,2025-07-11,33.17,30.84
78,2025-07-11,63.06,89.53
44,2025-07-11,95.63,48.13
72,2025-07-11,58.59,31.65
90,2025-07-11,20.65,22.97
1,2025-07-11,96.23,19.46
73,2025-07-11,77.01,54.36
7,2025-07-11,39.89,55.34
55,2025-07-11,65.91,3.27
93,2025-07-11,53.53,22.15
17,2025-07-11,74.87,64.02
70,2025-07-11,11.21,83.93
53,2025-07-11,79.65,89.51
81,2025-07-11,60.02,35.37
39,2025-07-11,17.56,29.8
85,2025-07-11,59.69,92.57
50,2025-07-11,30.36,2.47
21,2025-07-11,18.5,97.23
100,2025-07-11,81.87,72.86
24,2025-07-11,35.32,35.2
13,2025-07-11,10.36,89.9
58,2025-07-11,94.17,28.32
8,2025-07-11,31.78,40.78
94,2025-07-11,35.39,85.0
