bill_id,customer_id,date,amount_billed,amount_paid
1,97,2025-07-06,41.85,69.31
2,88,2025-07-06,11.84,88.35
3,55,2025-07-06,66.74,31.21
4,66,2025-07-06,12.07,67.94
5,89,2025-07-06,50.03,59.9
6,69,2025-07-06,31.48,76.98
7,8,2025-07-06,51.89,36.02
8,99,2025-07-06,88.43,66.39
9,74,2025-07-06,67.21,37.25
10,33,2025-07-06,17.09,95.77
11,71,2025-07-06,62.03,85.31
12,1,2025-07-06,79.67,65.76
13,53,2025-07-06,82.8,40.09
14,68,2025-07-06,74.67,20.18
15,82,2025-07-06,77.57,5.17
16,49,2025-07-06,26.26,24.25
17,9,2025-07-06,68.15,61.54
18,67,2025-07-06,18.12,93.97
19,38,2025-07-06,52.95,41.42
20,35,2025-07-06,59.45,33.27
21,46,2025-07-06,51.38,5.97
22,57,2025-07-06,29.45,91.74
23,86,2025-07-06,42.42,35.22
24,91,2025-07-06,26.2,34.31
25,76,2025-07-06,42.5,92.41
26,3,2025-07-06,85.19,75.28
27,94,2025-07-06,26.91,33.14
28,31,2025-07-06,31.76,84.45
29,98,2025-07-06,83.78,57.79
30,34,2025-07-06,19.77,29.43
31,26,2025-07-06,76.59,32.6
32,78,2025-07-06,76.88,92.68
33,39,2025-07-06,46.49,83.61
34,73,2025-07-06,90.61,45.82
35,84,2025-07-06,95.21,8.04
36,63,2025-07-06,99.53,29.9
37,16,2025-07-06,43.54,38.67
38,44,2025-07-06,48.96,41.6
39,25,2025-07-06,99.14,48.48
40,36,2025-07-06,73.17,47.0
41,27,2025-07-06,63.24,71.81
42,64,2025-07-06,56.49,23.24
43,81,2025-07-06,15.97,28.61
44,17,2025-07-06,29.93,14.96
45,29,2025-07-06,10.42,82.81
46,65,2025-07-06,88.29,69.54
47,95,2025-07-06,12.6,15.14
48,32,2025-07-06,12.38,81.6
49,83,2025-07-06,99.37,53.72
50,70,2025-07-06,55.61,98.27
51,50,2025-07-06,27.61,95.92
52,85,2025-07-06,78.46,45.22
53,77,2025-07-06,91.36,42.36
54,30,2025-07-06,62.04,37.67
55,52,2025-07-06,56.26,34.32
56,22,2025-07-06,24.57,64.11
57,21,2025-07-06,58.67,32.18
58,13,2025-07-06,95.83,18.6
59,92,2025-07-06,81.78,81.36
60,7,2025-07-06,73.71,67.96
61,60,2025-07-06,95.4,83.18
62,90,2025-07-06,92.2,6.53
63,40,2025-07-06,77.63,68.22
64,45,2025-07-06,60.81,9.15
65,80,2025-07-06,17.45,43.54
66,48,2025-07-06,58.43,6.54
67,75,2025-07-06,35.28,70.84
68,15,2025-07-06,82.04,40.45
69,18,2025-07-06,95.15,57.38
70,61,2025-07-06,50.0,50.86
71,58,2025-07-06,91.12,29.5
72,28,2025-07-06,20.79,7.99
73,42,2025-07-06,55.69,59.8
74,43,2025-07-06,99.12,37.6
75,93,2025-07-06,20.56,44.42
76,37,2025-07-06,50.9,68.41
77,100,2025-07-06,76.41,99.98
78,4,2025-07-06,64.76,62.86
79,87,2025-07-06,77.61,32.82
80,59,2025-07-06,91.71,85.97
