customer_id,date,amount_billed,amount_paid
74,2025-07-26,89.32,24.18
5,2025-07-26,12.19,95.81
41,2025-07-26,71.19,48.26
14,2025-07-26,23.16,67.27
63,2025-07-26,59.9,61.63
4,2025-07-26,10.77,80.56
38,2025-07-26,54.1,52.21
67,2025-07-26,50.46,1.21
43,2025-07-26,12.47,98.33
76,2025-07-26,40.13,8.99
22,2025-07-26,22.25,63.65
53,2025-07-26,81.9,57.05
82,2025-07-26,97.77,31.88
6,2025-07-26,99.48,92.56
65,2025-07-26,31.32,13.86
37,2025-07-26,58.19,0.13
86,2025-07-26,58.34,15.44
33,2025-07-26,22.83,66.32
60,2025-07-26,11.81,69.79
64,2025-07-26,44.58,48.86
81,2025-07-26,29.41,66.28
44,2025-07-26,84.3,6.37
16,2025-07-26,37.32,8.55
57,2025-07-26,43.43,7.79
94,2025-07-26,70.11,40.78
68,2025-07-26,21.61,9.41
90,2025-07-26,25.6,37.93
31,2025-07-26,53.33,61.93
26,2025-07-26,61.93,82.48
61,2025-07-26,44.74,20.12
80,2025-07-26,96.18,6.62
19,2025-07-26,38.08,41.2
27,2025-07-26,18.9,66.31
98,2025-07-26,41.08,48.14
48,2025-07-26,49.32,85.58
49,2025-07-26,79.39,71.51
52,2025-07-26,34.95,83.86
42,2025-07-26,36.37,21.97
12,2025-07-26,78.81,70.23
100,2025-07-26,11.54,17.06
51,2025-07-26,94.91,96.64
29,2025-07-26,87.48,94.46
71,2025-07-26,98.75,99.05
28,2025-07-26,24.2,59.38
55,2025-07-26,85.11,26.81
18,2025-07-26,77.99,20.53
78,2025-07-26,77.99,38.71
13,2025-07-26,75.54,1.14
34,2025-07-26,67.9,45.92
15,2025-07-26,32.49,30.38
10,2025-07-26,75.16,43.71
87,2025-07-26,97.95,45.86
23,2025-07-26,19.12,37.54
88,2025-07-26,28.24,9.31
3,2025-07-26,40.94,76.07
95,2025-07-26,31.37,75.52
79,2025-07-26,39.41,20.66
69,2025-07-26,53.0,87.89
62,2025-07-26,35.79,69.53
21,2025-07-26,71.24,57.86
2,2025-07-26,86.44,3.7
50,2025-07-26,81.82,6.11
58,2025-07-26,35.2,58.36
45,2025-07-26,14.08,42.73
40,2025-07-26,66.77,82.34
91,2025-07-26,44.56,80.94
72,2025-07-26,53.4,40.18
89,2025-07-26,41.88,78.77
66,2025-07-26,85.55,19.7
17,2025-07-26,87.57,76.23
47,2025-07-26,64.17,52.36
11,2025-07-26,66.35,21.41
39,2025-07-26,81.93,12.83
75,2025-07-26,92.24,22.74
36,2025-07-26,92.74,43.44
70,2025-07-26,84.22,59.3
30,2025-07-26,68.69,50.32
85,2025-07-26,45.35,49.23
8,2025-07-26,36.57,55.33
92,2025-07-26,73.19,66.48
