customer_id,date,amount_billed,amount_paid
37,2025-07-09,58.43,81.19
56,2025-07-09,97.89,61.51
23,2025-07-09,30.3,65.07
31,2025-07-09,56.25,44.22
57,2025-07-09,95.94,59.54
79,2025-07-09,60.12,5.82
17,2025-07-09,20.38,33.03
64,2025-07-09,21.06,33.34
76,2025-07-09,45.83,11.66
3,2025-07-09,18.91,45.14
34,2025-07-09,52.09,43.5
88,2025-07-09,60.61,71.19
58,2025-07-09,95.05,58.89
53,2025-07-09,74.9,51.57
75,2025-07-09,27.02,64.71
46,2025-07-09,12.14,62.46
18,2025-07-09,53.66,87.45
92,2025-07-09,10.66,78.19
4,2025-07-09,20.13,9.86
5,2025-07-09,88.51,30.16
72,2025-07-09,87.11,89.16
20,2025-07-09,71.29,88.0
30,2025-07-09,67.48,40.07
83,2025-07-09,35.82,90.02
10,2025-07-09,63.51,3.79
49,2025-07-09,24.89,55.18
68,2025-07-09,76.52,82.47
1,2025-07-09,92.53,71.54
95,2025-07-09,70.2,84.59
78,2025-07-09,70.97,91.9
86,2025-07-09,25.77,19.26
38,2025-07-09,59.16,83.4
33,2025-07-09,15.99,21.17
69,2025-07-09,66.55,93.95
7,2025-07-09,61.21,71.82
25,2025-07-09,59.1,86.71
21,2025-07-09,38.18,38.43
28,2025-07-09,69.62,63.33
19,2025-07-09,20.24,88.02
6,2025-07-09,46.26,2.85
90,2025-07-09,49.03,72.38
97,2025-07-09,91.71,82.69
40,2025-07-09,82.3,31.45
32,2025-07-09,29.75,30.09
22,2025-07-09,96.44,83.79
66,2025-07-09,12.74,57.97
48,2025-07-09,21.69,40.9
71,2025-07-09,36.53,77.91
13,2025-07-09,72.52,21.98
80,2025-07-09,72.07,62.98
60,2025-07-09,41.5,50.98
41,2025-07-09,92.22,57.32
2,2025-07-09,76.55,36.9
12,2025-07-09,30.26,44.56
96,2025-07-09,49.22,21.02
45,2025-07-09,29.99,84.07
81,2025-07-09,69.58,55.89
15,2025-07-09,28.07,83.24
42,2025-07-09,92.43,2.83
62,2025-07-09,36.3,50.32
27,2025-07-09,20.33,61.72
65,2025-07-09,49.2,22.87
99,2025-07-09,96.41,5.76
82,2025-07-09,16.4,96.65
16,2025-07-09,82.17,43.5
98,2025-07-09,21.61,44.25
35,2025-07-09,83.61,83.87
59,2025-07-09,37.61,36.07
11,2025-07-09,10.36,26.28
51,2025-07-09,15.75,65.63
24,2025-07-09,62.96,75.69
9,2025-07-09,90.74,6.27
61,2025-07-09,53.05,28.27
87,2025-07-09,52.85,10.08
39,2025-07-09,72.28,16.91
8,2025-07-09,35.24,88.75
74,2025-07-09,14.32,95.39
14,2025-07-09,66.73,89.96
89,2025-07-09,72.67,79.54
93,2025-07-09,88.9,85.81
