customer_id,date,data_used_MB,voice_minutes
33,2025-07-18,213.59,43
63,2025-07-18,630.64,55
25,2025-07-18,390.95,54
50,2025-07-18,365.85,48
62,2025-07-18,143.39,51
12,2025-07-18,620.38,42
47,2025-07-18,160.15,44
16,2025-07-18,148.72,53
86,2025-07-18,131.27,54
99,2025-07-18,318.38,49
65,2025-07-18,79.83,47
4,2025-07-18,196.17,43
92,2025-07-18,92.69,71
31,2025-07-18,182.21,41
34,2025-07-18,554.36,51
89,2025-07-18,193.82,53
87,2025-07-18,157.52,49
11,2025-07-18,230.28,47
96,2025-07-18,1146.28,49
21,2025-07-18,170.61,50
79,2025-07-18,55.95,52
70,2025-07-18,962.11,46
52,2025-07-18,1186.07,52
58,2025-07-18,204.24,60
88,2025-07-18,826.44,58
71,2025-07-18,227.47,50
49,2025-07-18,299.45,45
61,2025-07-18,200.12,53
97,2025-07-18,48.66,57
18,2025-07-18,254.67,53
73,2025-07-18,73.66,55
8,2025-07-18,239.04,58
32,2025-07-18,649.71,36
5,2025-07-18,122.3,49
42,2025-07-18,29.95,44
56,2025-07-18,298.3,42
22,2025-07-18,390.64,61
14,2025-07-18,707.39,53
77,2025-07-18,121.04,48
90,2025-07-18,60.31,40
45,2025-07-18,339.79,52
53,2025-07-18,234.8,51
7,2025-07-18,178.89,46
10,2025-07-18,76.82,44
1,2025-07-18,9.37,46
55,2025-07-18,251.2,32
39,2025-07-18,407.83,60
74,2025-07-18,680.3,47
23,2025-07-18,48.46,51
69,2025-07-18,218.24,70
91,2025-07-18,101.37,49
46,2025-07-18,254.46,37
30,2025-07-18,4.08,48
9,2025-07-18,737.12,54
37,2025-07-18,166.14,45
84,2025-07-18,626.2,46
67,2025-07-18,366.52,61
43,2025-07-18,402.58,45
20,2025-07-18,1123.27,55
64,2025-07-18,390.53,50
29,2025-07-18,155.34,45
81,2025-07-18,288.72,51
19,2025-07-18,624.75,52
72,2025-07-18,463.82,47
95,2025-07-18,20.54,44
59,2025-07-18,595.16,48
83,2025-07-18,171.83,57
26,2025-07-18,213.13,52
6,2025-07-18,510.34,49
17,2025-07-18,21.86,46
100,2025-07-18,934.31,33
75,2025-07-18,693.32,44
2,2025-07-18,32.87,51
40,2025-07-18,495.86,52
44,2025-07-18,62.31,44
35,2025-07-18,53.23,37
76,2025-07-18,354.91,51
93,2025-07-18,578.48,46
28,2025-07-18,477.79,43
36,2025-07-18,113.17,51
