customer_id,date,amount_billed,amount_paid
89,2025-07-24,75.62,28.78
36,2025-07-24,73.85,86.9
92,2025-07-24,41.7,64.69
20,2025-07-24,62.79,78.18
31,2025-07-24,72.77,29.87
5,2025-07-24,62.37,3.65
26,2025-07-24,27.81,29.95
97,2025-07-24,70.3,90.34
88,2025-07-24,32.9,67.42
67,2025-07-24,16.87,76.72
54,2025-07-24,84.16,73.96
68,2025-07-24,74.34,36.26
84,2025-07-24,32.89,27.5
9,2025-07-24,90.77,6.47
19,2025-07-24,93.42,14.12
99,2025-07-24,66.21,46.54
34,2025-07-24,31.05,26.84
42,2025-07-24,77.13,1.26
62,2025-07-24,14.47,52.21
12,2025-07-24,45.01,80.88
87,2025-07-24,25.7,40.12
91,2025-07-24,44.17,76.51
45,2025-07-24,25.79,26.52
11,2025-07-24,78.23,4.95
15,2025-07-24,73.11,50.8
95,2025-07-24,78.43,85.09
40,2025-07-24,75.19,86.42
22,2025-07-24,94.62,69.85
23,2025-07-24,42.76,19.01
60,2025-07-24,94.48,45.22
78,2025-07-24,17.54,65.35
25,2025-07-24,50.44,89.47
100,2025-07-24,46.33,47.47
21,2025-07-24,71.42,47.63
8,2025-07-24,24.76,91.06
28,2025-07-24,86.55,22.64
82,2025-07-24,19.64,0.26
77,2025-07-24,48.41,40.94
70,2025-07-24,96.92,76.8
13,2025-07-24,92.05,18.74
83,2025-07-24,73.75,33.07
63,2025-07-24,86.58,16.49
80,2025-07-24,82.68,75.06
71,2025-07-24,24.56,26.94
41,2025-07-24,31.09,72.11
96,2025-07-24,74.71,77.63
56,2025-07-24,88.04,22.6
76,2025-07-24,51.99,35.21
55,2025-07-24,39.12,96.22
43,2025-07-24,46.59,46.27
66,2025-07-24,26.74,32.94
65,2025-07-24,88.26,28.3
35,2025-07-24,28.16,53.14
29,2025-07-24,22.93,28.75
59,2025-07-24,39.69,31.43
18,2025-07-24,13.72,49.91
17,2025-07-24,14.52,56.06
2,2025-07-24,22.49,80.86
37,2025-07-24,23.37,77.19
16,2025-07-24,80.44,29.73
14,2025-07-24,67.08,74.79
46,2025-07-24,66.16,66.1
50,2025-07-24,54.48,2.02
39,2025-07-24,23.36,66.45
32,2025-07-24,44.15,13.19
93,2025-07-24,82.16,81.14
85,2025-07-24,89.86,60.38
74,2025-07-24,86.38,36.13
33,2025-07-24,64.65,23.64
49,2025-07-24,27.34,42.48
72,2025-07-24,42.49,6.25
44,2025-07-24,97.58,86.57
53,2025-07-24,90.48,4.65
7,2025-07-24,27.29,75.46
51,2025-07-24,30.13,13.96
6,2025-07-24,79.97,43.24
48,2025-07-24,52.32,43.32
90,2025-07-24,21.81,66.05
86,2025-07-24,95.2,59.92
52,2025-07-24,97.23,9.94
