bill_id,customer_id,date,amount_billed,amount_paid
1,28,2025-06-27,90.16,37.24
2,35,2025-06-27,44.32,27.55
3,11,2025-06-27,12.39,16.09
4,69,2025-06-27,23.53,43.63
5,60,2025-06-27,57.12,72.88
6,78,2025-06-27,56.44,16.24
7,5,2025-06-27,36.34,63.86
8,87,2025-06-27,23.37,40.17
9,72,2025-06-27,61.35,21.44
10,91,2025-06-27,67.1,9.39
11,45,2025-06-27,41.32,67.07
12,29,2025-06-27,13.26,61.63
13,66,2025-06-27,25.02,60.33
14,17,2025-06-27,22.14,69.39
15,8,2025-06-27,64.27,58.71
16,10,2025-06-27,18.98,91.36
17,37,2025-06-27,60.79,40.17
18,23,2025-06-27,22.11,88.29
19,46,2025-06-27,30.15,63.04
20,30,2025-06-27,56.31,99.32
21,86,2025-06-27,51.33,0.19
22,19,2025-06-27,44.55,3.61
23,18,2025-06-27,52.99,80.09
24,79,2025-06-27,99.88,85.25
25,27,2025-06-27,21.52,66.25
26,4,2025-06-27,70.93,83.95
27,42,2025-06-27,35.18,65.73
28,57,2025-06-27,33.73,48.33
29,1,2025-06-27,17.21,66.88
30,41,2025-06-27,72.3,80.07
31,75,2025-06-27,99.55,60.72
32,21,2025-06-27,32.32,98.45
33,89,2025-06-27,12.52,8.57
34,68,2025-06-27,64.77,43.14
35,73,2025-06-27,98.53,95.66
36,9,2025-06-27,51.31,78.03
37,70,2025-06-27,54.73,55.46
38,88,2025-06-27,47.83,43.49
39,54,2025-06-27,49.5,52.28
40,63,2025-06-27,13.53,37.94
41,24,2025-06-27,32.59,6.69
42,36,2025-06-27,91.55,88.35
43,83,2025-06-27,40.79,47.42
44,58,2025-06-27,83.88,92.16
45,94,2025-06-27,91.17,89.67
46,22,2025-06-27,22.55,91.6
47,49,2025-06-27,22.67,43.51
48,39,2025-06-27,26.02,37.23
49,13,2025-06-27,49.07,11.96
50,15,2025-06-27,26.65,10.73
51,12,2025-06-27,94.93,85.24
52,43,2025-06-27,42.64,96.66
53,76,2025-06-27,60.59,41.05
54,97,2025-06-27,42.81,73.07
55,59,2025-06-27,44.37,52.16
56,65,2025-06-27,25.02,8.65
57,6,2025-06-27,93.95,89.96
58,80,2025-06-27,82.59,44.76
59,34,2025-06-27,22.61,14.01
60,67,2025-06-27,84.86,16.36
61,84,2025-06-27,48.69,23.86
62,77,2025-06-27,24.67,99.13
63,31,2025-06-27,75.16,88.29
64,62,2025-06-27,79.55,11.32
65,40,2025-06-27,71.43,24.21
66,55,2025-06-27,33.52,1.48
67,25,2025-06-27,38.18,25.05
68,38,2025-06-27,87.12,20.67
69,16,2025-06-27,60.52,78.38
70,3,2025-06-27,51.7,75.99
71,26,2025-06-27,30.51,23.6
72,100,2025-06-27,28.65,39.11
73,81,2025-06-27,25.32,29.38
74,82,2025-06-27,63.82,4.53
75,74,2025-06-27,72.35,57.59
76,95,2025-06-27,26.45,91.16
77,48,2025-06-27,42.28,9.47
78,53,2025-06-27,69.53,29.74
79,92,2025-06-27,19.19,13.82
80,14,2025-06-27,36.61,91.8
