usage_id,customer_id,date,data_used_MB,voice_minutes
1,11,2025-06-30,193.41,57
2,99,2025-06-30,144.98,49
3,1,2025-06-30,1224.38,64
4,29,2025-06-30,512.91,54
5,28,2025-06-30,50.5,47
6,43,2025-06-30,38.59,43
7,9,2025-06-30,134.54,54
8,19,2025-06-30,490.94,56
9,60,2025-06-30,148.58,51
10,7,2025-06-30,678.6,43
11,81,2025-06-30,0.65,64
12,53,2025-06-30,701.86,42
13,67,2025-06-30,237.69,57
14,78,2025-06-30,1002.13,55
15,35,2025-06-30,285.9,39
16,68,2025-06-30,196.76,49
17,95,2025-06-30,49.48,53
18,69,2025-06-30,70.18,50
19,77,2025-06-30,412.74,50
20,61,2025-06-30,257.41,50
21,72,2025-06-30,150.4,52
22,59,2025-06-30,488.39,37
23,86,2025-06-30,93.41,43
24,30,2025-06-30,495.68,52
25,93,2025-06-30,230.68,49
26,8,2025-06-30,189.54,38
27,2,2025-06-30,46.14,46
28,91,2025-06-30,185.1,39
29,97,2025-06-30,137.53,47
30,76,2025-06-30,51.49,63
31,51,2025-06-30,241.53,54
32,46,2025-06-30,225.42,41
33,56,2025-06-30,112.64,45
34,57,2025-06-30,242.37,47
35,73,2025-06-30,454.11,49
36,37,2025-06-30,81.46,57
37,44,2025-06-30,1269.2,54
38,23,2025-06-30,544.78,46
39,65,2025-06-30,211.49,47
40,22,2025-06-30,175.62,48
41,17,2025-06-30,432.79,54
42,34,2025-06-30,177.92,53
43,49,2025-06-30,134.65,45
44,38,2025-06-30,390.9,58
45,94,2025-06-30,239.12,46
46,47,2025-06-30,512.2,58
47,98,2025-06-30,117.65,47
48,12,2025-06-30,51.98,56
49,75,2025-06-30,390.42,52
50,33,2025-06-30,867.14,49
51,66,2025-06-30,23.12,55
52,4,2025-06-30,909.83,42
53,85,2025-06-30,27.07,46
54,88,2025-06-30,493.2,49
55,25,2025-06-30,74.38,51
56,70,2025-06-30,165.21,50
57,89,2025-06-30,63.61,42
58,52,2025-06-30,1967.12,60
59,87,2025-06-30,264.76,55
60,6,2025-06-30,219.87,41
61,21,2025-06-30,32.43,55
62,20,2025-06-30,191.7,52
63,54,2025-06-30,3.95,58
64,90,2025-06-30,810.81,54
65,39,2025-06-30,465.71,48
66,92,2025-06-30,219.55,41
67,42,2025-06-30,48.13,52
68,14,2025-06-30,133.4,59
69,40,2025-06-30,1.52,52
70,27,2025-06-30,21.92,47
71,10,2025-06-30,3.12,50
72,24,2025-06-30,95.8,53
73,79,2025-06-30,147.38,42
74,31,2025-06-30,95.49,57
75,96,2025-06-30,864.92,53
76,45,2025-06-30,599.69,52
77,63,2025-06-30,432.7,51
78,80,2025-06-30,16.6,59
79,62,2025-06-30,117.7,47
80,16,2025-06-30,42.32,57
