customer_id,date,data_used_MB,voice_minutes
64,2025-07-08,342.41,46
17,2025-07-08,235.82,55
35,2025-07-08,10.64,46
46,2025-07-08,117.24,61
39,2025-07-08,220.56,55
61,2025-07-08,188.8,39
77,2025-07-08,203.97,57
37,2025-07-08,311.37,62
6,2025-07-08,228.75,52
81,2025-07-08,228.59,61
1,2025-07-08,306.02,39
53,2025-07-08,11.23,51
9,2025-07-08,80.0,54
19,2025-07-08,9.67,46
34,2025-07-08,517.5,49
4,2025-07-08,137.57,57
16,2025-07-08,49.01,50
84,2025-07-08,206.24,56
38,2025-07-08,37.22,48
59,2025-07-08,40.04,56
88,2025-07-08,153.97,55
49,2025-07-08,431.41,49
10,2025-07-08,429.81,48
60,2025-07-08,627.22,52
87,2025-07-08,688.31,56
51,2025-07-08,14.22,55
76,2025-07-08,84.05,55
74,2025-07-08,884.11,47
65,2025-07-08,256.82,56
18,2025-07-08,66.45,46
52,2025-07-08,14.6,54
32,2025-07-08,202.92,39
13,2025-07-08,379.0,54
100,2025-07-08,77.6,47
93,2025-07-08,467.68,43
11,2025-07-08,243.19,51
33,2025-07-08,362.13,62
79,2025-07-08,5.64,54
44,2025-07-08,265.19,50
94,2025-07-08,448.54,48
63,2025-07-08,137.65,53
86,2025-07-08,256.27,59
91,2025-07-08,4.15,60
92,2025-07-08,259.59,47
68,2025-07-08,190.94,55
67,2025-07-08,58.33,54
28,2025-07-08,1085.45,53
73,2025-07-08,404.28,57
97,2025-07-08,182.99,57
56,2025-07-08,329.39,48
12,2025-07-08,452.19,55
69,2025-07-08,39.23,51
48,2025-07-08,34.32,46
78,2025-07-08,83.47,43
42,2025-07-08,146.95,56
80,2025-07-08,727.13,51
8,2025-07-08,569.78,38
82,2025-07-08,177.86,47
55,2025-07-08,188.56,47
99,2025-07-08,426.52,46
75,2025-07-08,255.02,58
58,2025-07-08,65.3,49
15,2025-07-08,585.97,55
29,2025-07-08,69.01,43
50,2025-07-08,116.78,48
36,2025-07-08,570.69,56
21,2025-07-08,296.19,58
89,2025-07-08,170.2,45
71,2025-07-08,436.6,47
66,2025-07-08,1183.4,42
26,2025-07-08,2.51,50
41,2025-07-08,33.81,43
57,2025-07-08,33.0,53
23,2025-07-08,290.67,43
43,2025-07-08,643.0,64
85,2025-07-08,426.47,41
14,2025-07-08,192.74,50
83,2025-07-08,794.98,56
45,2025-07-08,115.48,47
70,2025-07-08,321.88,46
