usage_id,customer_id,date,data_used_MB,voice_minutes
1,76,2025-06-28,3.53,48
2,32,2025-06-28,63.32,41
3,70,2025-06-28,125.06,41
4,90,2025-06-28,6.33,52
5,16,2025-06-28,594.66,54
6,28,2025-06-28,87.15,55
7,47,2025-06-28,33.54,46
8,5,2025-06-28,518.12,54
9,27,2025-06-28,544.68,52
10,23,2025-06-28,539.2,56
11,48,2025-06-28,248.2,43
12,57,2025-06-28,224.14,53
13,75,2025-06-28,250.75,58
14,44,2025-06-28,592.5,54
15,97,2025-06-28,1027.11,44
16,65,2025-06-28,671.17,53
17,79,2025-06-28,466.1,42
18,80,2025-06-28,938.2,55
19,96,2025-06-28,333.82,45
20,40,2025-06-28,330.64,54
21,55,2025-06-28,576.11,52
22,83,2025-06-28,342.47,51
23,64,2025-06-28,119.22,46
24,46,2025-06-28,65.58,54
25,26,2025-06-28,286.45,41
26,8,2025-06-28,465.19,56
27,24,2025-06-28,476.75,58
28,49,2025-06-28,305.57,54
29,91,2025-06-28,955.64,43
30,52,2025-06-28,82.75,49
31,37,2025-06-28,655.57,61
32,14,2025-06-28,83.38,51
33,7,2025-06-28,314.78,59
34,59,2025-06-28,273.25,53
35,61,2025-06-28,121.29,29
36,1,2025-06-28,841.95,46
37,50,2025-06-28,238.69,48
38,35,2025-06-28,115.18,48
39,93,2025-06-28,121.79,58
40,58,2025-06-28,116.88,64
41,2,2025-06-28,305.06,49
42,63,2025-06-28,15.0,36
43,22,2025-06-28,676.04,47
44,82,2025-06-28,172.4,54
45,33,2025-06-28,263.42,45
46,94,2025-06-28,167.3,38
47,73,2025-06-28,3.73,48
48,15,2025-06-28,464.5,53
49,69,2025-06-28,419.05,61
50,86,2025-06-28,10.27,62
51,68,2025-06-28,479.62,48
52,66,2025-06-28,116.96,48
53,53,2025-06-28,576.82,46
54,78,2025-06-28,80.45,54
55,29,2025-06-28,266.76,56
56,43,2025-06-28,153.23,51
57,77,2025-06-28,162.7,44
58,51,2025-06-28,38.27,48
59,9,2025-06-28,121.21,59
60,31,2025-06-28,561.75,57
61,54,2025-06-28,142.04,38
62,81,2025-06-28,240.35,56
63,85,2025-06-28,729.72,44
64,60,2025-06-28,136.65,41
65,98,2025-06-28,126.67,35
66,36,2025-06-28,37.31,47
67,71,2025-06-28,288.68,65
68,100,2025-06-28,120.33,62
69,25,2025-06-28,385.03,59
70,92,2025-06-28,494.12,50
71,42,2025-06-28,11.17,59
72,88,2025-06-28,205.52,49
73,10,2025-06-28,396.43,47
74,30,2025-06-28,26.87,51
75,74,2025-06-28,86.11,46
76,13,2025-06-28,369.09,56
77,20,2025-06-28,240.06,38
78,34,2025-06-28,15.69,42
79,45,2025-06-28,402.44,63
80,95,2025-06-28,471.31,34
