bill_id,customer_id,date,amount_billed,amount_paid
1,71,2025-07-05,75.13,0.99
2,38,2025-07-05,52.18,91.14
3,85,2025-07-05,37.83,53.57
4,61,2025-07-05,70.14,34.97
5,24,2025-07-05,14.47,35.83
6,74,2025-07-05,52.01,35.27
7,67,2025-07-05,76.47,46.7
8,82,2025-07-05,15.42,44.06
9,95,2025-07-05,82.87,51.46
10,19,2025-07-05,96.78,9.68
11,59,2025-07-05,49.37,73.11
12,54,2025-07-05,81.33,58.85
13,65,2025-07-05,33.88,93.92
14,27,2025-07-05,55.86,1.54
15,45,2025-07-05,66.68,12.17
16,73,2025-07-05,70.48,7.36
17,39,2025-07-05,35.06,68.03
18,96,2025-07-05,23.56,79.77
19,9,2025-07-05,24.04,53.59
20,13,2025-07-05,37.75,36.01
21,52,2025-07-05,61.23,5.14
22,91,2025-07-05,40.44,95.91
23,51,2025-07-05,97.27,94.55
24,77,2025-07-05,99.68,44.09
25,62,2025-07-05,77.63,27.73
26,94,2025-07-05,86.18,47.9
27,6,2025-07-05,25.92,18.42
28,12,2025-07-05,23.17,27.01
29,43,2025-07-05,58.47,89.82
30,48,2025-07-05,17.2,38.33
31,84,2025-07-05,14.86,71.11
32,16,2025-07-05,41.4,27.63
33,66,2025-07-05,10.53,35.88
34,7,2025-07-05,63.14,61.34
35,80,2025-07-05,35.45,86.31
36,18,2025-07-05,46.57,3.86
37,17,2025-07-05,81.1,17.57
38,58,2025-07-05,76.47,68.46
39,23,2025-07-05,30.54,74.09
40,22,2025-07-05,32.41,39.73
41,2,2025-07-05,83.16,8.7
42,8,2025-07-05,32.95,93.32
43,44,2025-07-05,94.58,71.22
44,68,2025-07-05,14.66,57.27
45,30,2025-07-05,38.53,60.4
46,10,2025-07-05,62.52,7.42
47,26,2025-07-05,54.11,27.8
48,76,2025-07-05,89.72,87.38
49,28,2025-07-05,21.79,53.99
50,86,2025-07-05,47.26,79.73
51,47,2025-07-05,33.24,67.06
52,79,2025-07-05,45.64,37.62
53,75,2025-07-05,39.32,84.02
54,56,2025-07-05,85.94,72.69
55,33,2025-07-05,39.01,68.59
56,35,2025-07-05,89.2,80.34
57,88,2025-07-05,34.43,10.31
58,42,2025-07-05,68.85,12.73
59,5,2025-07-05,45.19,66.9
60,15,2025-07-05,64.91,55.52
61,37,2025-07-05,92.21,86.78
62,89,2025-07-05,43.63,45.58
63,60,2025-07-05,19.8,9.74
64,55,2025-07-05,93.91,39.65
65,31,2025-07-05,79.98,9.75
66,41,2025-07-05,18.76,17.48
67,50,2025-07-05,15.5,55.48
68,57,2025-07-05,69.76,37.01
69,69,2025-07-05,42.71,52.47
70,93,2025-07-05,13.45,92.19
71,83,2025-07-05,88.53,25.62
72,36,2025-07-05,80.82,77.01
73,14,2025-07-05,24.43,89.53
74,63,2025-07-05,29.11,23.68
75,98,2025-07-05,85.46,92.56
76,29,2025-07-05,21.36,19.39
77,81,2025-07-05,53.05,87.58
78,72,2025-07-05,59.49,42.71
79,4,2025-07-05,78.34,41.94
80,32,2025-07-05,21.11,44.93
