customer_id,date,data_used_MB,voice_minutes
29,2025-07-21,125.02,47
39,2025-07-21,193.75,59
78,2025-07-21,557.64,54
79,2025-07-21,15.5,45
21,2025-07-21,110.3,48
55,2025-07-21,969.35,49
92,2025-07-21,82.38,60
49,2025-07-21,543.19,48
50,2025-07-21,286.21,53
2,2025-07-21,230.0,60
96,2025-07-21,387.45,49
23,2025-07-21,124.18,47
12,2025-07-21,133.85,53
27,2025-07-21,90.38,60
87,2025-07-21,207.91,47
90,2025-07-21,213.83,50
13,2025-07-21,167.2,59
98,2025-07-21,336.73,64
5,2025-07-21,85.67,54
54,2025-07-21,379.93,55
34,2025-07-21,180.65,52
6,2025-07-21,293.3,64
72,2025-07-21,313.88,55
89,2025-07-21,44.51,44
75,2025-07-21,984.89,53
9,2025-07-21,171.63,51
36,2025-07-21,319.78,42
52,2025-07-21,158.69,47
68,2025-07-21,56.12,43
95,2025-07-21,133.69,40
30,2025-07-21,316.85,48
83,2025-07-21,77.44,49
42,2025-07-21,138.14,45
44,2025-07-21,66.68,34
99,2025-07-21,490.41,50
62,2025-07-21,489.77,59
3,2025-07-21,289.75,49
11,2025-07-21,29.54,50
38,2025-07-21,480.01,72
46,2025-07-21,444.87,61
51,2025-07-21,163.5,57
20,2025-07-21,45.67,39
93,2025-07-21,263.64,48
86,2025-07-21,81.29,59
45,2025-07-21,85.14,53
19,2025-07-21,22.62,53
63,2025-07-21,661.26,66
24,2025-07-21,11.73,64
97,2025-07-21,146.79,55
33,2025-07-21,159.6,51
35,2025-07-21,101.28,48
85,2025-07-21,106.29,46
60,2025-07-21,391.82,48
88,2025-07-21,282.42,52
48,2025-07-21,181.96,54
31,2025-07-21,150.5,55
66,2025-07-21,249.16,39
7,2025-07-21,241.59,54
100,2025-07-21,444.52,51
18,2025-07-21,337.92,49
28,2025-07-21,18.94,51
4,2025-07-21,92.52,58
70,2025-07-21,182.04,54
82,2025-07-21,340.68,45
43,2025-07-21,1125.99,47
56,2025-07-21,318.15,57
10,2025-07-21,150.13,62
32,2025-07-21,487.35,53
77,2025-07-21,231.5,57
73,2025-07-21,147.19,55
61,2025-07-21,122.13,45
80,2025-07-21,31.1,52
37,2025-07-21,519.25,62
64,2025-07-21,87.58,46
40,2025-07-21,834.25,54
57,2025-07-21,553.43,39
22,2025-07-21,132.46,35
53,2025-07-21,288.67,46
76,2025-07-21,267.31,41
41,2025-07-21,169.81,51
