usage_id,customer_id,date,data_used_MB,voice_minutes
1,97,2025-07-06,430.51,43
2,88,2025-07-06,150.16,52
3,55,2025-07-06,5.31,56
4,66,2025-07-06,338.8,54
5,89,2025-07-06,25.88,52
6,69,2025-07-06,152.18,49
7,8,2025-07-06,60.96,54
8,99,2025-07-06,493.56,55
9,74,2025-07-06,40.99,58
10,33,2025-07-06,283.55,48
11,71,2025-07-06,160.62,53
12,1,2025-07-06,1513.31,46
13,53,2025-07-06,28.49,53
14,68,2025-07-06,482.96,48
15,82,2025-07-06,220.4,67
16,49,2025-07-06,134.2,60
17,9,2025-07-06,541.13,49
18,67,2025-07-06,424.67,41
19,38,2025-07-06,946.26,47
20,35,2025-07-06,918.69,43
21,46,2025-07-06,24.93,40
22,57,2025-07-06,816.52,44
23,86,2025-07-06,221.91,50
24,91,2025-07-06,264.59,65
25,76,2025-07-06,42.76,46
26,3,2025-07-06,468.9,56
27,94,2025-07-06,76.07,59
28,31,2025-07-06,552.4,47
29,98,2025-07-06,208.0,51
30,34,2025-07-06,447.94,49
31,26,2025-07-06,411.46,38
32,78,2025-07-06,98.25,51
33,39,2025-07-06,505.16,60
34,73,2025-07-06,22.84,40
35,84,2025-07-06,18.91,45
36,63,2025-07-06,0.09,53
37,16,2025-07-06,101.69,44
38,44,2025-07-06,190.95,36
39,25,2025-07-06,191.71,45
40,36,2025-07-06,732.54,48
41,27,2025-07-06,292.45,50
42,64,2025-07-06,643.87,41
43,81,2025-07-06,202.37,51
44,17,2025-07-06,266.67,40
45,29,2025-07-06,470.88,42
46,65,2025-07-06,139.95,41
47,95,2025-07-06,698.67,50
48,32,2025-07-06,386.1,44
49,83,2025-07-06,17.09,56
50,70,2025-07-06,202.24,39
51,50,2025-07-06,563.05,46
52,85,2025-07-06,180.69,43
53,77,2025-07-06,340.83,48
54,30,2025-07-06,50.36,52
55,52,2025-07-06,230.93,54
56,22,2025-07-06,439.89,47
57,21,2025-07-06,88.11,56
58,13,2025-07-06,429.74,55
59,92,2025-07-06,87.4,49
60,7,2025-07-06,122.23,59
61,60,2025-07-06,276.19,54
62,90,2025-07-06,78.33,54
63,40,2025-07-06,586.72,53
64,45,2025-07-06,839.56,52
65,80,2025-07-06,1066.13,49
66,48,2025-07-06,33.38,47
67,75,2025-07-06,803.22,61
68,15,2025-07-06,437.63,45
69,18,2025-07-06,88.97,47
70,61,2025-07-06,118.13,46
71,58,2025-07-06,506.65,50
72,28,2025-07-06,158.79,40
73,42,2025-07-06,55.95,49
74,43,2025-07-06,22.17,50
75,93,2025-07-06,341.04,63
76,37,2025-07-06,123.93,56
77,100,2025-07-06,13.29,57
78,4,2025-07-06,167.14,47
79,87,2025-07-06,376.99,46
80,59,2025-07-06,500.82,61
