bill_id,customer_id,date,amount_billed,amount_paid
1,76,2025-06-28,30.97,95.91
2,32,2025-06-28,75.9,77.35
3,70,2025-06-28,59.92,45.97
4,90,2025-06-28,24.79,94.3
5,16,2025-06-28,36.39,82.35
6,28,2025-06-28,77.5,83.03
7,47,2025-06-28,68.84,98.75
8,5,2025-06-28,51.77,79.95
9,27,2025-06-28,31.97,13.4
10,23,2025-06-28,38.26,73.33
11,48,2025-06-28,31.61,83.46
12,57,2025-06-28,91.35,81.69
13,75,2025-06-28,98.3,48.92
14,44,2025-06-28,90.39,13.06
15,97,2025-06-28,51.02,14.3
16,65,2025-06-28,59.64,81.05
17,79,2025-06-28,64.59,5.44
18,80,2025-06-28,55.2,40.11
19,96,2025-06-28,86.83,78.61
20,40,2025-06-28,74.51,38.01
21,55,2025-06-28,13.89,64.64
22,83,2025-06-28,13.19,45.44
23,64,2025-06-28,84.34,44.03
24,46,2025-06-28,85.24,29.98
25,26,2025-06-28,68.99,79.54
26,8,2025-06-28,93.95,37.47
27,24,2025-06-28,22.08,72.93
28,49,2025-06-28,91.01,60.72
29,91,2025-06-28,61.84,62.97
30,52,2025-06-28,15.69,0.24
31,37,2025-06-28,82.74,56.68
32,14,2025-06-28,74.58,81.16
33,7,2025-06-28,48.27,72.44
34,59,2025-06-28,31.7,75.28
35,61,2025-06-28,34.03,74.41
36,1,2025-06-28,18.21,27.66
37,50,2025-06-28,14.46,15.17
38,35,2025-06-28,94.61,82.57
39,93,2025-06-28,89.49,99.52
40,58,2025-06-28,71.49,61.62
41,2,2025-06-28,47.49,92.52
42,63,2025-06-28,47.98,73.64
43,22,2025-06-28,10.46,7.88
44,82,2025-06-28,33.19,36.0
45,33,2025-06-28,60.5,61.66
46,94,2025-06-28,83.38,35.95
47,73,2025-06-28,25.58,34.68
48,15,2025-06-28,74.13,14.53
49,69,2025-06-28,75.74,75.23
50,86,2025-06-28,98.1,0.05
51,68,2025-06-28,19.07,72.95
52,66,2025-06-28,12.88,59.75
53,53,2025-06-28,58.91,49.94
54,78,2025-06-28,86.54,16.02
55,29,2025-06-28,57.7,75.17
56,43,2025-06-28,53.79,3.85
57,77,2025-06-28,81.81,85.37
58,51,2025-06-28,98.67,29.6
59,9,2025-06-28,57.48,93.39
60,31,2025-06-28,94.3,55.31
61,54,2025-06-28,66.21,47.32
62,81,2025-06-28,35.84,33.46
63,85,2025-06-28,47.59,9.2
64,60,2025-06-28,56.93,58.47
65,98,2025-06-28,59.2,52.2
66,36,2025-06-28,34.94,76.42
67,71,2025-06-28,53.22,64.85
68,100,2025-06-28,12.69,18.4
69,25,2025-06-28,93.26,68.08
70,92,2025-06-28,26.46,28.41
71,42,2025-06-28,14.33,18.3
72,88,2025-06-28,64.49,23.72
73,10,2025-06-28,52.64,92.55
74,30,2025-06-28,77.17,88.13
75,74,2025-06-28,83.42,38.67
76,13,2025-06-28,43.73,7.32
77,20,2025-06-28,98.95,18.51
78,34,2025-06-28,84.13,71.37
79,45,2025-06-28,44.61,39.89
80,95,2025-06-28,91.34,61.68
