customer_id,date,data_used_MB,voice_minutes
94,2025-07-15,908.99,46
4,2025-07-15,37.34,43
35,2025-07-15,1111.78,56
27,2025-07-15,307.25,61
49,2025-07-15,25.55,35
51,2025-07-15,630.46,48
5,2025-07-15,736.54,48
75,2025-07-15,339.69,52
53,2025-07-15,60.04,58
34,2025-07-15,3.89,44
91,2025-07-15,165.71,65
73,2025-07-15,1605.51,67
40,2025-07-15,299.76,37
65,2025-07-15,370.9,40
33,2025-07-15,107.61,52
57,2025-07-15,107.92,50
87,2025-07-15,369.68,51
28,2025-07-15,312.52,45
83,2025-07-15,563.04,49
74,2025-07-15,13.07,42
48,2025-07-15,11.45,55
80,2025-07-15,686.53,42
25,2025-07-15,263.9,62
99,2025-07-15,362.26,43
19,2025-07-15,397.1,53
56,2025-07-15,73.87,45
43,2025-07-15,62.35,56
3,2025-07-15,385.6,54
78,2025-07-15,63.05,44
12,2025-07-15,464.6,44
20,2025-07-15,299.22,66
32,2025-07-15,25.81,52
88,2025-07-15,30.29,52
67,2025-07-15,375.29,48
13,2025-07-15,51.11,48
92,2025-07-15,772.92,55
29,2025-07-15,378.69,46
10,2025-07-15,183.48,53
71,2025-07-15,33.53,57
30,2025-07-15,94.87,62
61,2025-07-15,743.73,47
95,2025-07-15,67.35,49
18,2025-07-15,55.27,46
38,2025-07-15,172.72,49
97,2025-07-15,606.84,49
55,2025-07-15,206.0,49
96,2025-07-15,23.21,44
64,2025-07-15,210.61,45
58,2025-07-15,1184.93,53
42,2025-07-15,50.41,40
90,2025-07-15,394.3,47
37,2025-07-15,244.6,41
16,2025-07-15,102.86,49
44,2025-07-15,127.7,67
7,2025-07-15,136.42,45
86,2025-07-15,206.36,48
85,2025-07-15,308.18,41
76,2025-07-15,222.3,43
60,2025-07-15,873.15,51
47,2025-07-15,133.01,55
9,2025-07-15,226.5,54
1,2025-07-15,56.21,42
84,2025-07-15,953.5,46
36,2025-07-15,692.8,62
89,2025-07-15,109.57,41
68,2025-07-15,811.77,44
59,2025-07-15,864.52,63
11,2025-07-15,53.24,48
24,2025-07-15,125.82,52
26,2025-07-15,319.88,48
66,2025-07-15,374.14,45
31,2025-07-15,78.34,58
82,2025-07-15,578.11,39
39,2025-07-15,315.71,48
77,2025-07-15,8.03,57
69,2025-07-15,78.08,47
15,2025-07-15,763.73,49
100,2025-07-15,147.29,61
21,2025-07-15,110.14,39
63,2025-07-15,260.28,36
