customer_id,date,complaint_type,resolved
5,2025-07-25,No Response,False
84,2025-07-25,Slow Internet,True
90,2025-07-25,Service Down,False
22,2025-07-25,Service Down,True
12,2025-07-25,Network Issue,True
18,2025-07-25,Network Issue,True
84,2025-07-25,Overbilling,False
78,2025-07-25,Overbilling,False
70,2025-07-25,No Response,False
54,2025-07-25,Overbilling,False
71,2025-07-25,Service Down,False
5,2025-07-25,Network Issue,True
99,2025-07-25,Service Down,False
38,2025-07-25,Overbilling,True
18,2025-07-25,No Response,False
65,2025-07-25,Overbilling,False
85,2025-07-25,No Response,False
46,2025-07-25,Service Down,False
98,2025-07-25,Slow Internet,True
59,2025-07-25,Overbilling,True
