customer_id,date,data_used_MB,voice_minutes
85,2025-07-27,32.71,65
91,2025-07-27,35.36,55
99,2025-07-27,674.86,58
83,2025-07-27,130.95,51
6,2025-07-27,376.36,41
20,2025-07-27,343.47,45
14,2025-07-27,6.62,53
44,2025-07-27,198.97,67
47,2025-07-27,131.75,48
26,2025-07-27,352.4,61
53,2025-07-27,13.1,40
23,2025-07-27,231.24,44
74,2025-07-27,239.79,45
3,2025-07-27,56.65,50
24,2025-07-27,199.14,43
25,2025-07-27,671.88,46
22,2025-07-27,775.56,52
40,2025-07-27,203.36,40
9,2025-07-27,157.3,62
70,2025-07-27,586.06,50
31,2025-07-27,331.35,41
50,2025-07-27,18.45,45
4,2025-07-27,794.76,54
89,2025-07-27,132.47,41
73,2025-07-27,328.75,47
61,2025-07-27,12.44,47
100,2025-07-27,1.9,58
88,2025-07-27,501.86,59
93,2025-07-27,20.25,50
67,2025-07-27,163.39,51
37,2025-07-27,284.0,45
68,2025-07-27,966.18,66
87,2025-07-27,695.59,56
94,2025-07-27,156.92,46
71,2025-07-27,834.61,63
82,2025-07-27,147.66,38
57,2025-07-27,87.98,49
97,2025-07-27,83.65,48
11,2025-07-27,124.77,45
2,2025-07-27,576.49,50
90,2025-07-27,715.25,59
77,2025-07-27,19.17,59
28,2025-07-27,110.47,57
38,2025-07-27,600.61,47
45,2025-07-27,251.77,48
34,2025-07-27,148.95,46
21,2025-07-27,80.57,44
36,2025-07-27,121.18,54
42,2025-07-27,146.8,51
49,2025-07-27,146.42,51
86,2025-07-27,48.17,49
72,2025-07-27,232.99,46
80,2025-07-27,973.09,52
16,2025-07-27,278.79,50
1,2025-07-27,587.36,60
65,2025-07-27,251.05,45
12,2025-07-27,523.14,54
7,2025-07-27,809.83,51
79,2025-07-27,74.09,55
5,2025-07-27,171.8,52
95,2025-07-27,162.05,55
19,2025-07-27,239.49,54
43,2025-07-27,336.12,50
64,2025-07-27,125.38,39
46,2025-07-27,279.71,49
84,2025-07-27,46.93,46
76,2025-07-27,256.12,44
98,2025-07-27,1119.85,47
29,2025-07-27,42.12,46
41,2025-07-27,186.78,50
58,2025-07-27,69.86,55
55,2025-07-27,131.61,53
27,2025-07-27,240.8,56
78,2025-07-27,448.74,47
30,2025-07-27,341.61,58
75,2025-07-27,172.03,47
51,2025-07-27,281.32,44
32,2025-07-27,128.08,53
81,2025-07-27,92.62,42
33,2025-07-27,413.53,67
