customer_id,date,amount_billed,amount_paid
33,2025-07-18,87.09,50.01
63,2025-07-18,25.37,60.26
25,2025-07-18,48.7,75.03
50,2025-07-18,97.56,6.34
62,2025-07-18,67.78,57.93
12,2025-07-18,56.13,18.96
47,2025-07-18,20.74,38.03
16,2025-07-18,95.63,29.41
86,2025-07-18,94.46,26.4
99,2025-07-18,46.13,61.68
65,2025-07-18,90.06,36.05
4,2025-07-18,74.25,78.63
92,2025-07-18,52.7,33.46
31,2025-07-18,63.82,40.88
34,2025-07-18,18.12,21.23
89,2025-07-18,48.83,35.39
87,2025-07-18,73.61,75.87
11,2025-07-18,33.73,51.41
96,2025-07-18,33.49,99.39
21,2025-07-18,48.25,26.17
79,2025-07-18,37.31,24.08
70,2025-07-18,70.65,96.53
52,2025-07-18,84.56,51.89
58,2025-07-18,55.15,79.25
88,2025-07-18,97.37,75.41
71,2025-07-18,98.89,69.91
49,2025-07-18,53.92,1.79
61,2025-07-18,99.26,19.2
97,2025-07-18,19.29,75.63
18,2025-07-18,82.29,59.56
73,2025-07-18,98.34,99.68
8,2025-07-18,32.59,37.73
32,2025-07-18,95.12,40.67
5,2025-07-18,10.96,25.82
42,2025-07-18,66.14,19.68
56,2025-07-18,39.87,82.01
22,2025-07-18,44.42,37.73
14,2025-07-18,99.86,46.53
77,2025-07-18,22.56,28.82
90,2025-07-18,54.47,88.17
45,2025-07-18,48.82,55.42
53,2025-07-18,39.37,26.58
7,2025-07-18,37.35,78.08
10,2025-07-18,67.73,19.33
1,2025-07-18,96.43,95.19
55,2025-07-18,15.35,68.14
39,2025-07-18,65.24,63.9
74,2025-07-18,60.49,13.61
23,2025-07-18,22.85,92.95
69,2025-07-18,22.6,99.4
91,2025-07-18,10.46,12.99
46,2025-07-18,84.81,70.77
30,2025-07-18,67.1,7.81
9,2025-07-18,86.91,25.66
37,2025-07-18,87.14,37.27
84,2025-07-18,87.23,98.89
67,2025-07-18,89.36,5.23
43,2025-07-18,50.95,92.57
20,2025-07-18,61.0,80.48
64,2025-07-18,69.94,37.65
29,2025-07-18,81.78,27.11
81,2025-07-18,70.42,46.78
19,2025-07-18,59.97,64.48
72,2025-07-18,81.18,44.12
95,2025-07-18,82.86,33.02
59,2025-07-18,50.36,40.91
83,2025-07-18,34.08,22.85
26,2025-07-18,50.16,33.04
6,2025-07-18,29.97,9.78
17,2025-07-18,10.3,88.08
100,2025-07-18,74.27,16.93
75,2025-07-18,40.03,68.94
2,2025-07-18,62.99,19.25
40,2025-07-18,48.56,42.74
44,2025-07-18,36.19,33.57
35,2025-07-18,52.75,69.19
76,2025-07-18,19.52,79.62
93,2025-07-18,10.63,5.53
28,2025-07-18,32.86,87.3
36,2025-07-18,65.11,41.7
