bill_id,customer_id,date,amount_billed,amount_paid
1,15,2025-07-02,56.98,13.11
2,61,2025-07-02,21.86,98.12
3,11,2025-07-02,95.44,30.54
4,84,2025-07-02,79.28,79.78
5,67,2025-07-02,13.63,17.32
6,50,2025-07-02,43.25,72.17
7,19,2025-07-02,44.21,40.51
8,87,2025-07-02,78.16,47.24
9,28,2025-07-02,17.56,40.66
10,94,2025-07-02,84.18,10.56
11,23,2025-07-02,67.5,51.16
12,77,2025-07-02,19.79,55.23
13,12,2025-07-02,93.02,77.1
14,42,2025-07-02,99.44,52.51
15,43,2025-07-02,79.39,24.49
16,89,2025-07-02,93.32,46.25
17,51,2025-07-02,69.51,41.73
18,7,2025-07-02,96.63,76.96
19,72,2025-07-02,98.57,30.01
20,68,2025-07-02,90.04,55.16
21,5,2025-07-02,83.32,91.57
22,33,2025-07-02,91.3,28.56
23,95,2025-07-02,34.94,56.93
24,25,2025-07-02,39.78,46.92
25,32,2025-07-02,89.31,33.78
26,81,2025-07-02,69.21,18.61
27,38,2025-07-02,44.29,98.54
28,47,2025-07-02,32.61,93.51
29,74,2025-07-02,46.09,9.16
30,8,2025-07-02,52.53,60.22
31,53,2025-07-02,95.29,42.29
32,57,2025-07-02,23.07,56.78
33,46,2025-07-02,73.09,53.66
34,59,2025-07-02,26.82,8.05
35,52,2025-07-02,32.82,34.01
36,98,2025-07-02,58.29,82.48
37,64,2025-07-02,16.58,65.64
38,75,2025-07-02,44.46,99.39
39,66,2025-07-02,39.57,18.07
40,76,2025-07-02,77.86,41.71
41,30,2025-07-02,12.53,93.62
42,10,2025-07-02,75.75,65.35
43,62,2025-07-02,48.99,51.3
44,24,2025-07-02,27.95,55.54
45,83,2025-07-02,22.5,67.09
46,18,2025-07-02,82.67,86.21
47,49,2025-07-02,36.37,54.66
48,70,2025-07-02,27.8,75.72
49,92,2025-07-02,73.19,7.63
50,1,2025-07-02,24.87,1.63
51,90,2025-07-02,53.09,2.81
52,27,2025-07-02,18.41,55.05
53,99,2025-07-02,20.77,77.61
54,37,2025-07-02,69.34,33.0
55,36,2025-07-02,56.56,88.28
56,26,2025-07-02,71.37,30.55
57,56,2025-07-02,65.43,37.48
58,91,2025-07-02,32.69,23.66
59,65,2025-07-02,43.59,20.8
60,4,2025-07-02,95.83,15.04
61,85,2025-07-02,45.56,21.29
62,69,2025-07-02,24.44,35.28
63,17,2025-07-02,66.56,17.28
64,100,2025-07-02,68.93,17.81
65,20,2025-07-02,42.36,27.3
66,21,2025-07-02,43.4,75.65
67,60,2025-07-02,93.96,21.71
68,35,2025-07-02,31.56,10.99
69,45,2025-07-02,75.65,96.38
70,16,2025-07-02,86.93,72.74
71,3,2025-07-02,94.37,31.57
72,6,2025-07-02,18.96,28.63
73,88,2025-07-02,41.48,21.54
74,86,2025-07-02,31.83,47.98
75,78,2025-07-02,10.52,27.71
76,14,2025-07-02,27.7,19.72
77,13,2025-07-02,46.98,32.94
78,97,2025-07-02,19.13,45.59
79,34,2025-07-02,59.25,14.62
80,41,2025-07-02,92.76,96.55
