complaint_id,customer_id,date,complaint_type,resolved
1,51,2025-06-30,Slow Internet,True
2,90,2025-06-30,No Response,False
3,95,2025-06-30,Network Issue,True
4,16,2025-06-30,Slow Internet,False
5,60,2025-06-30,Network Issue,True
6,75,2025-06-30,Slow Internet,False
7,51,2025-06-30,Network Issue,False
8,95,2025-06-30,Slow Internet,False
9,30,2025-06-30,Overbilling,False
10,68,2025-06-30,Slow Internet,False
11,6,2025-06-30,Slow Internet,False
12,67,2025-06-30,No Response,True
13,20,2025-06-30,No Response,True
14,69,2025-06-30,Network Issue,True
15,9,2025-06-30,No Response,False
16,4,2025-06-30,No Response,True
17,11,2025-06-30,Overbilling,True
18,70,2025-06-30,No Response,True
19,81,2025-06-30,Slow Internet,False
20,37,2025-06-30,Overbilling,False
