customer_id,date,amount_billed,amount_paid
53,2025-07-10,95.58,16.22
23,2025-07-10,32.1,60.17
72,2025-07-10,39.27,43.39
93,2025-07-10,44.63,11.48
84,2025-07-10,72.31,83.91
15,2025-07-10,61.79,33.88
97,2025-07-10,45.18,26.75
64,2025-07-10,36.94,59.96
56,2025-07-10,73.82,76.0
94,2025-07-10,90.11,25.99
26,2025-07-10,28.0,79.1
35,2025-07-10,29.81,2.61
91,2025-07-10,57.1,21.61
71,2025-07-10,88.78,19.05
48,2025-07-10,28.25,98.1
78,2025-07-10,65.56,22.98
30,2025-07-10,56.49,55.88
36,2025-07-10,62.27,25.71
80,2025-07-10,94.99,54.34
47,2025-07-10,38.63,59.0
2,2025-07-10,85.84,50.54
3,2025-07-10,31.93,66.04
37,2025-07-10,56.36,8.69
95,2025-07-10,29.22,82.11
96,2025-07-10,66.4,30.44
5,2025-07-10,24.93,82.73
6,2025-07-10,93.13,79.37
13,2025-07-10,27.55,55.96
68,2025-07-10,89.51,74.66
66,2025-07-10,99.94,67.2
50,2025-07-10,54.17,43.15
59,2025-07-10,54.93,63.56
61,2025-07-10,29.27,90.33
16,2025-07-10,14.46,33.36
20,2025-07-10,19.21,19.92
69,2025-07-10,27.53,65.89
32,2025-07-10,82.96,76.29
14,2025-07-10,16.88,50.12
70,2025-07-10,25.65,21.31
27,2025-07-10,81.79,22.37
43,2025-07-10,54.68,24.95
67,2025-07-10,14.24,8.9
18,2025-07-10,46.77,86.64
99,2025-07-10,59.64,98.28
60,2025-07-10,13.87,9.69
100,2025-07-10,94.81,78.94
11,2025-07-10,58.24,42.38
76,2025-07-10,43.8,84.04
45,2025-07-10,17.95,21.07
17,2025-07-10,33.23,99.64
41,2025-07-10,82.31,89.39
63,2025-07-10,79.45,42.73
9,2025-07-10,65.73,12.78
39,2025-07-10,51.38,69.37
7,2025-07-10,71.97,86.74
25,2025-07-10,24.15,78.26
82,2025-07-10,95.37,4.68
42,2025-07-10,52.89,50.95
57,2025-07-10,56.53,5.2
86,2025-07-10,61.53,32.56
21,2025-07-10,41.46,59.38
73,2025-07-10,61.09,47.49
40,2025-07-10,46.88,4.0
33,2025-07-10,56.29,91.19
29,2025-07-10,11.72,49.55
87,2025-07-10,81.29,83.41
83,2025-07-10,78.62,18.28
44,2025-07-10,28.33,54.91
55,2025-07-10,36.88,40.08
58,2025-07-10,24.19,15.61
81,2025-07-10,89.1,41.36
98,2025-07-10,41.89,7.01
89,2025-07-10,35.6,28.73
46,2025-07-10,87.92,60.15
28,2025-07-10,97.14,35.31
8,2025-07-10,24.2,78.83
62,2025-07-10,39.79,22.03
54,2025-07-10,12.04,11.43
4,2025-07-10,54.49,46.2
75,2025-07-10,63.55,31.08
